country;currency_name;currency_code
India;Rupia india;INR
Indonesia;Rupia indonesia;IDR
Irak;Dinar iraquí;IQD
Irán;Rial iraní;IRR
Irlanda;Euro;EUR
Islandia;Corona islandes;ISK
Islas Marshall;Dólar estadounidense;USD
Islas Salomón;Dólar de las Islas Salomón;SBD
Israel;Nuevo shéquel;ILS
Italia;Euro;EUR
Jamaica;Dólar jamaiquino;JMD
Japón;Yen;JPY
Jordania;Dinar jordano;JOD
Kazajistán;Tenge kazajo;KZT
Kenia;Chelín keniano;KES
Kirguistán;Som kirguís;KGS
Kiribati;Dólar australiano;AUD
Kosovo;Euro;EUR
Kuwait;Dinar kuwaití;KWD
Laos;Kip laosiano;LAK
Lesoto;Loti;LSL
Letonia;Euro;EUR
Líbano;Libra libanesa;LBP
Liberia;Dólar liberiano;LRD
Libia;Dinar libio;LYD
Liechtenstein;Franco suizo;CHF
Lituania;Euro;EUR
Luxemburgo;Euro;EUR
Macedonia del Norte;Denar macedonio;MKD
Madagascar;Ariary malgache;MGA
Malasia;Ringgit malayo;MYR
Malaui;Kwacha malauí;MWK
Maldivas;Rupia de Maldivas;MVR
Malí;Franco CFA de África Occidental;XOF
Malta;Euro;EUR
Marruecos;Dirham marroquí;MAD
Mauricio;Rupia de Mauricio;MUR
Mauritania;Uguiya;MRO
México;Peso mexicano;MXN
Micronesia;Dólar estadounidense;USD
Moldavia;Leu moldavo;MDL
Mónaco;Euro;EUR
Mongolia;Tugrik mongol;MNT
Montenegro;Euro;EUR
Mozambique;Metical mozambiqueño;MZN
Namibia;Dólar namibio;NAD
Nauru;Dólar australiano;AUD
Nepal;Rupia nepalí;NPR
Nicaragua;Córdoba nicaragüense;NIO
Níger;Franco CFA de África Occidental;XOF
Nigeria;Naira;NGN
Noruega;Corona noruega;NOK
Nueva Zelanda;Dólar neozelandés;NZD
Omán;Rial omaní;OMR
Países Bajos;Euro;EUR
Pakistán;Rupia pakistaní;PKR
Palaos;Dólar estadounidense;USD
Palestina;Nuevo shéquel;ILS
Panamá;Balboa panameño;PAB
Papúa Nueva Guinea;Kina;PGK
Paraguay;Guaraní;PYG
Perú;Nuevo sol;PEN
Polonia;Zloty;PLN
Portugal;Euro;EUR
Reino Unido;Libra británica;GBP
República Centroafricana;Franco CFA de África Central;XAF
República Checa;Corona checa;CZK
República Democrática del Congo;Franco congoleño;CDF
República Dominicana;Peso dominicano;DOP
Ruanda;Franco ruandés;RWF
Rumania;Leu rumano;RON
Rusia;Rublo ruso;RUB
Samoa;Tala;WST
San Cristóbal y Nieves;Dólar del Caribe Oriental;XCD
San Marino;Euro;EUR
San Vicente y las Granadinas;Dólar del Caribe Oriental;XCD
Santa Lucía;Dólar del Caribe Oriental;XCD
Santo Tomé y Príncipe;Dobra;STD
Senegal;Franco CFA de África Occidental;XOF
Serbia;Dinar serbio;RSD
Seychelles;Rupia de Seychelles;SCR
Sierra Leona;Leone;SLL
Singapur;Dólar de Singapur;SGD
Siria;Libra siria;SYP
Somalia;Chelín somalí;SOS
Sri Lanka;Rupia de Sri Lanka;LKR
Sudáfrica;Rand sudafricano;ZAR
Sudán;Libra sudanesa;SDG
Sudán del Sur;Libra sursudanesa;SSP
Suecia;Corona sueca;SEK
Suiza;Franco suizo;CHF
Surinam;Dólar surinamés;SRD
Tailandia;Baht tailandés;THB
Taiwán;Nuevo dólar taiwanés;TWD
Tanzania;Chelín tanzano;TZS
Tayikistán;Somoni tayiko;TJS
Timor Oriental;Dólar estadounidense;USD
Togo;Franco CFA de África Occidental;XOF
Tonga;Pa'anga;TOP
Trinidad y Tobago;Dólar trinitense;TTD
Túnez;Dinar tunecino;TND
Turkmenistán;Manat turcomano;TMT
Turquía;Lira turca;TRY
Tuvalu;Dólar australiano;AUD
Ucrania;Grivna;UAH
Uganda;Chelín ugandés;UGX
Uruguay;Peso uruguayo;UYU
Uzbekistán;Som uzbeko;UZS
Vanuatu;Vatu;VUV
Vaticano;Euro;EUR
Venezuela;Bolívar fuerte;VEF
Vietnam;Dong vietnamita;VND
Yemen;Rial yemení;YER
Yibuti;Franco yibutiano;DJF
Zambia;Kwacha zambiano;ZMW
Zimbabue;Dólar estadounidense;USD
